"sta","lat","lon","alt","prc"
"Cigudeg",-6.5528,106.5386,373,0
"Cihideung Udik",-6.5936,106.7183,227,0
"Darmaga",-6.5,106.75,133,0.5
"Dayeuh / Sukanegara",-6.6089,107.1476,146,0
"Depok",-6.4053,106.7559,92,0
"Empang",-6.6117,106.7914,267,4
"Katulampa",-6.6006,106.8058,269,9
"Klapanunggal",-6.4143,106.9621,80,0
"Kranji",-6.46,106.86,121,0
"Pasir Jaya (Pondok Gedeh)",-6.7283,106.7953,517,0
"Perk. Kahuripan",-6.446,106.6912,100,0
"PLTA Kracak",-6.6169,106.6441,282,0
"Tanjung Sari / Cibeet (Tunggilis)",-6.4197,107.0311,62,0
